Lab ID Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
101,13.02242371,42.75943805,25.30515588,18.05501531,17.12623319,18.03653387,12.83250637,11.58429942,15.78406519,10.77115103,9.974501104,9.767981033,9.058787419,7.29605948,6.703506006,5.799872079,5.237576638,5.21384086,4.514211505,3.751836982,3.770355362,3.381540733,2.740002385,2.419954144,2.170732458,2.399485298,2.389328081,2.127894965,2.255947003,3.061722527
102,0.4345857865,1.049382777,1.109560133,1.043105616,1.000002832,0.9944263848,1.237956713,1.199893677,1.022432706,0.9551744748,0.8731687631,0.8635997494,0.8944353422,0.8667753548,0.8861344401,0.9059342489,0.9903825605,1.014420466,0.9232353761,0.8471521163,0.7649020936,0.6642442038,0.561037298,0.50366633,0.4085811421,0.340846434,0.3033855158,0.2769106962,0.2371178314,0.2305776682
103,1.24622642,1.637577601,1.565401494,1.36853738,1.141682403,1.004905957,0.8205710791,0.7381036348,0.6967956937,0.6613981426,0.6194746809,0.5919333974,0.5455256852,0.5560032796,0.5555063746,0.5198266972,0.5244561443,0.5134349666,0.4678639675,0.4639686458,0.3352202622,0.2883579064,0.2259516748,0.2021194301,0.1918078839,0.1786614342,0.1678530872,0.1715315158,0.160010556,0.1590097731
104,0.6160943421,0.775801599,0.7266655541,0.6985356762,0.6104737598,0.6067837075,0.5369249896,0.5857811724,0.56197159,0.5221032542,0.5304031258,0.5484386878,0.5125161449,0.4643043892,0.5142316178,0.4610138991,0.4499952605,0.4393344985,0.4226496636,0.3538663003,0.3214885504,0.2684414489,0.2152068455,0.1996994879,0.1738345739,0.1646116622,0.1575813792,0.1425477763,0.1338055935,0.1276039841
105,15.85483954,29.89184424,33.58365626,29.33915285,23.27891366,24.07873562,22.41850217,22.34711165,19.50173758,20.63116247,20.22605973,18.4982949,14.13416486,12.74343288,10.93458241,9.363778046,9.173228785,8.582526694,7.780082202,6.023892216,5.293855661,4.692611092,4.490876373,4.244826318,3.911026162,3.445298935,3.237133972,3.374665199,3.26490668,3.026427429
106,0.52107507,1.113032126,1.165637962,1.065034765,1.048220599,1.061954251,1.185564663,0.9544560797,0.9394375557,0.954614027,0.833486498,0.7456195668,0.7224768676,0.692240375,0.5976852946,0.5151823662,0.557923795,0.5064947083,0.4219438214,0.4091349965,0.3500205912,0.3152963904,0.2575426649,0.2051253769,0.1901088844,0.1815389828,0.1626832752,0.1727668086,0.1639143497,0.1658057764
107,0.3444567151,0.8610248883,0.9679548804,0.9701457255,0.8106963377,0.821829082,0.7643893293,0.8255326515,0.7512161035,0.7885739252,0.7913330892,0.8338391618,0.8456739694,0.844491978,0.932010765,0.9839374955,1.072157231,1.11876848,1.236766015,1.36717015,1.392410677,1.341628367,1.327314603,1.054722751,0.8612880604,0.7631570143,0.6183971595,0.5301244104,0.421587199,0.3885254322
108,0.8225657679,1.982661301,2.092310548,2.023621952,1.640824938,1.465275091,1.345573916,1.255531442,1.197137911,1.207205396,1.130980729,1.150336347,1.11521034,1.139551834,1.154056484,1.122735918,1.235547414,1.19879158,1.284985449,1.27654993,1.183763722,0.9709050178,0.9137018428,0.752398638,0.6297052967,0.5789012713,0.4803353568,0.4466735785,0.4193785414,0.364503255
109,0.4802755286,0.8184132436,0.8473102172,0.8343407008,0.7105850487,0.7143063948,0.6506571595,0.705656912,0.6565938468,0.6553385897,0.6608681075,0.6911389248,0.6790950572,0.6543981836,0.7231211914,0.7224756973,0.7610762456,0.7790514891,0.8297078392,0.8605182251,0.8569496139,0.8050349079,0.7712607241,0.6272111193,0.5175613171,0.4638843382,0.3879892694,0.3363360934,0.2776963962,0.2580647081
110,8.338702652,15.93725277,17.83798341,15.6813874,12.4598693,12.77200536,11.88203804,11.80132154,10.34943775,10.91918393,10.67852023,9.824315621,7.624687601,6.941492358,6.044319449,5.243256982,5.204388099,4.890659137,4.532533826,3.650221073,3.238809692,2.831758055,2.702289108,2.498612478,2.270365729,2.012100103,1.858734664,1.910669389,1.842142611,1.695465342
