Lab ID Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
101,12.05778345,23.17347632,24.3573159,16.82530631,13.51051217,13.69017466,12.39957834,11.16124814,9.334209574,8.711010146,7.834554927,7.002686836,6.5992843,6.830626131,5.91953097,5.216660858,5.060423743,4.46241476,4.079373949,3.157772456,3.080155726,2.483795524,2.142057767,1.946287256,1.813515893,1.822704819,1.775810669,1.874780266,1.798445624,1.718296572
102,0.4259604244,0.975462087,1.130327791,1.229386004,1.116747653,1.326808395,1.623206792,1.326234981,1.26601972,1.171736272,0.980461419,0.9115961106,0.9841000545,0.8452639685,0.7641683085,0.6753283274,0.6216715484,0.6449891732,0.5083121624,0.4306786027,0.3886716502,0.307664005,0.2617939392,0.2198290959,0.230091386,0.2098880526,0.1862473253,0.1794165949,0.171019071,0.1619315904
103,1.292684538,1.479841959,1.206913173,1.142873531,0.9898148819,0.9566680683,0.9074322762,0.8462917796,0.7385417472,0.6945329542,0.5848925376,0.6053213407,0.5627526534,0.5944399311,0.5133173949,0.4980747657,0.4932686331,0.4087902562,0.3720532156,0.3248613797,0.2599475006,0.2414212625,0.1935637719,0.1889742988,0.1852384523,0.1742452133,0.1594132422,0.1534154801,0.1551498357,0.1425166426
104,0.9816562174,1.175818621,0.9915047264,0.771150216,0.6930991493,0.6826537428,0.6263759122,0.5806693505,0.5736342371,0.5069867534,0.5257140111,0.5502728103,0.561281794,0.522652451,0.4801541772,0.4630831261,0.4649512254,0.425740248,0.3806063372,0.3086197252,0.2612848001,0.2356632607,0.2094605187,0.1754551902,0.1706352575,0.152128527,0.1418443574,0.1339568373,0.1370776944,0.1236788436
105,7.079275558,12.50223345,12.99087659,10.48293924,8.286841168,7.813715658,7.569458545,7.124617969,6.766236537,6.103833057,5.049580224,5.428452625,5.476665828,5.03893137,4.566725403,4.094962076,3.736665852,3.388404944,3.171386852,2.714164709,2.352385296,1.856345041,1.672503898,1.507877177,1.413391223,1.47245996,1.423308478,1.376897416,1.422253569,1.464535746
106,0.52107507,1.113032126,1.165637962,1.065034765,1.048220599,1.061954251,1.185564663,0.9544560797,0.9394375557,0.954614027,0.833486498,0.7456195668,0.7224768676,0.692240375,0.5976852946,0.5151823662,0.557923795,0.5064947083,0.4219438214,0.4091349965,0.3500205912,0.3152963904,0.2575426649,0.2051253769,0.1901088844,0.1815389828,0.1626832752,0.1727668086,0.1639143497,0.1658057764
107,0.4233676317,1.023840561,1.104852932,1.029388818,0.8689084062,0.8492800183,0.8052677758,0.7096204301,0.7445221588,0.679080157,0.622004335,0.654656399,0.603305502,0.5484086941,0.5629076103,0.5383013727,0.5633364927,0.5321799862,0.4816138568,0.4204305388,0.4115207335,0.3673321863,0.3364120813,0.326803076,0.3365179559,0.2955253388,0.276841506,0.2713550173,0.2538641627,0.2233111822
108,7.193689418,15.07525044,13.41852135,10.50911308,8.526958946,7.725218763,7.629394093,6.269463498,7.60663551,6.292803336,5.371947469,5.617733236,5.155959161,4.521367741,4.071947343,3.043217205,2.849775458,2.49043605,1.896521644,1.629152321,1.443593607,1.188026429,1.151594095,1.035307475,1.137802412,1.164877632,1.196110041,1.189960473,1.055858167,1.365723074
111,11.85212153,36.7182056,37.05426326,23.05463293,17.41231297,16.84174134,13.19725547,10.24209709,9.414914872,9.358043803,8.559033433,8.075019567,7.831639476,6.674877172,7.015602568,6.990802392,5.73815028,5.583020475,4.547526836,3.715040066,3.782168454,3.029605139,2.742041812,2.669664589,1.979216099,1.861139844,1.629223239,1.59934745,1.560167461,1.344766118
112,0.516739899,1.198916249,1.269090504,1.227561203,1.066121147,1.076226866,0.9919862666,0.9834533355,1.017260641,0.9365928829,0.9403447341,0.9752064335,0.9937968587,1.056562043,1.039267519,1.055124393,1.125905057,1.118592576,1.097779342,0.9379216901,0.8927805545,0.7994742517,0.7481323427,0.5874059656,0.5195187768,0.4637326757,0.3899198675,0.3838891841,0.3295249535,0.2974760371
113,0.87910351,1.97945605,1.76227719,1.42831108,1.37336013,1.27107855,1.05978724,0.98634613,0.93919385,0.79321809,0.82655807,0.74220611,0.73009599,0.69364511,0.61739148,0.60297619,0.5623981,0.48334102,0.47019301,0.41909868,0.36013018,0.31168559,0.28584848,0.23037572,0.2159627,0.21358327,0.1920774,0.18598046,0.16590751,0.17034799
114,1.48561806,3.38621308,3.34161228,2.73370441,2.64403672,2.28375886,2.22488503,2.09079596,2.32189279,2.00843429,2.07232357,2.18101177,2.22413859,2.1689659,2.20700244,2.16180706,2.17978325,2.07648901,2.2143932,1.90256827,1.64684525,1.36332107,1.27175115,1.13205542,1.09793349,0.91351984,0.78635429,0.72161743,0.66183734,0.65071604
115,15.7256618,42.20364746,39.62926783,33.75164395,23.6501186,18.33915657,13.67967175,11.12035407,10.95343639,9.319797543,9.605854607,9.109976518,7.359715747,7.108961186,6.55892662,6.311455742,6.200436693,5.214954001,4.799205671,4.269457229,4.058738981,3.504465296,2.901019778,2.613069304,2.005479364,2.14668932,1.934123048,1.828461202,1.769473303,1.623739564
117,0.5872359862,1.057296955,1.065873952,0.9750374806,0.982311779,0.9433118669,0.9096303509,0.8140366473,0.8707439021,0.7653836762,0.7151742245,0.672912157,0.6510879061,0.5525593007,0.5440897217,0.5173925626,0.487446602,0.4788303872,0.4263710035,0.3718415365,0.3284835798,0.2733406782,0.2474051722,0.2204333604,0.2095673902,0.2103852601,0.1975575459,0.1799940967,0.1683844462,0.1706674271
118,2.47684813,5.002798118,4.204683839,3.973247138,3.484611359,3.003076009,2.414499542,2.526791979,2.087292558,1.645712224,1.567007395,1.419152152,1.418638761,1.20104905,1.128781634,1.062951854,0.9198792265,0.8194013368,0.7059783246,0.6031702608,0.5082244533,0.4666945274,0.4050419876,0.3766166683,0.3598708553,0.3326606385,0.3145969181,0.2836874371,0.2941925552,0.3123392107
119,2.033990496,2.725576316,2.69633231,2.454346946,2.087508735,1.807215539,1.769561224,1.629751198,1.484406911,1.354880129,1.279665617,1.246100804,1.161807664,1.028200954,0.9036613558,0.8634997905,0.8077157889,0.7092056334,0.6002253237,0.4895734233,0.4502576384,0.3696108832,0.3767172036,0.3269379383,0.3246494985,0.2876889553,0.2734524757,0.2751314014,0.2597619302,0.5549494113
120,0.5175380428,1.14887135,1.123551659,1.120318824,1.02666589,1.001238575,0.9289157258,0.9013811119,0.8789998887,0.9084144496,0.8132153647,0.7272756261,0.7455217447,0.6689791014,0.6521879819,0.6264403085,0.6178845612,0.5632105131,0.5330041557,0.4324063689,0.4014898532,0.3193229338,0.2846200312,0.255233495,0.2402940863,0.2035402806,0.1963105759,0.1931868177,0.1729179024,0.1552605796
123,1.80070988,4.92353168,4.40154921,3.55353825,3.05528491,2.74739357,2.70744501,2.77934557,2.83131027,3.69544463,3.84033763,2.89835556,2.75465868,2.66696336,2.34039867,2.55623167,2.68598489,2.80243494,2.78454366,2.31391727,2.06083535,1.92908221,1.79542439,1.71556302,1.5974734,1.33271512,1.2639188,1.15020955,1.04795062,0.9579837
124,9.15981009,24.32894616,25.64661832,17.89083606,12.48828166,13.17291289,10.77343867,8.617125073,7.513558118,8.218074177,7.662466167,7.096377417,6.067217658,5.361672207,4.760362171,4.607016439,4.221404448,3.965458071,3.243052779,2.885869776,2.841079906,2.263301377,2.055120477,1.729207653,1.616283869,1.520019591,1.555824507,1.263960953,1.339661817,1.292811766
125,9.653645647,25.46365295,22.11847599,18.74055105,16.09173781,13.73189959,12.06106013,11.24252382,9.580008516,7.975561403,6.347745454,6.366343703,6.739844524,5.887791319,5.029814387,4.546068976,3.957694899,3.146446428,3.035689741,2.49442352,1.991195289,1.767934276,1.718306498,1.669213136,1.42517698,1.367448465,1.303426926,1.201436989,1.227829384,1.465791832
127,1.164810978,2.227090957,2.220108164,1.952376674,1.747048722,1.579711766,1.298007483,1.30286355,1.174357812,1.083491773,1.009607802,1.023338052,0.9305711132,0.8386748137,0.7666272469,0.6906371028,0.6027991563,0.5476345482,0.4578855098,0.3908200268,0.3430598777,0.2621651244,0.2364128171,0.2356541052,0.2311211818,0.2268374926,0.2177715525,0.2079644567,0.2116397455,0.2093642993
128,0.9682346572,1.967186586,2.022351685,1.640197648,1.451497126,1.250229342,1.127664495,1.128866963,1.079812476,0.9130209693,0.7768180522,0.7749238094,0.8511844792,0.7776982141,0.7166456772,0.5900667258,0.5313315135,0.5328707426,0.4637332335,0.3656316905,0.3068674554,0.296290781,0.2593200918,0.2310807413,0.2141379099,0.1831280155,0.2009532588,0.1905740693,0.1793528169,0.1879639319
129,0.6405670873,1.083912996,0.9742953089,1.450896634,0.8705020289,0.5483258438,0.6918546715,1.185451006,0.5338479054,1.37078297,0.8216454114,0.8264696572,0.8123518283,0.4258884272,0.3661299955,0.4923583782,0.4169152892,0.2959765778,0.3700339404,0.2017714661,0.2072198918,0.3384937422,0.2201105744,0.2280654332,0.1493336674,0.2202842811,0.232286823,0.1178209247,0.1470759134,0.165436418
130,2.549239986,8.788898062,8.417207477,6.273276352,3.067245976,2.641647088,5.233169691,2.460929885,3.238033434,5.322453404,2.050776108,3.059492018,1.811114716,3.036406085,2.061981732,2.667204457,1.745927889,0.8520122622,2.137032189,0.473356805,1.075193049,0.5100894201,1.523527268,0.9742095815,0.5832322739,1.157769784,0.7239682979,0.5195794825,0.7306607264,0.5354362914
132,0.5160625661,1.060737548,1.075420223,1.024986257,0.9730571241,0.9848225252,0.9756642398,1.095092066,1.053183016,0.9490811295,0.8270711267,0.8548535224,0.8538764064,0.7243421268,0.6850095525,0.6815360561,0.6121842184,0.5819074967,0.534202298,0.4726767731,0.4028007321,0.3975697897,0.3226919291,0.3142032563,0.2757483275,0.2406515768,0.2223476957,0.1928430112,0.1815614379,0.1761452473
133,1.218166423,2.499640009,2.551561888,2.444147631,1.925313583,1.850152547,1.660194201,1.512397544,1.510230979,1.378477498,1.220352615,1.233802262,1.222696515,1.231667016,1.167525634,1.093683337,1.004498698,1.027066836,0.9320480115,0.8179518634,0.7169254801,0.681820783,0.5913850488,0.5274838633,0.4896685941,0.4459585569,0.3966342322,0.3775700414,0.3396610702,0.3484010299
134,0.4370992078,0.8914900665,0.9912394438,0.9584565002,0.8213709087,0.7513620378,0.7325712954,0.7094410791,0.737709188,0.7334357567,0.6465953216,0.6151854641,0.6395894649,0.6039144492,0.5452206324,0.5209281568,0.5346188916,0.4881179045,0.4370999931,0.3833344444,0.3293456541,0.3022085865,0.2590808155,0.2265495453,0.2200701383,0.2155313913,0.1990930667,0.1731301053,0.1757069978,0.1596906533
135,0.6372112362,1.465827238,1.470076021,1.226919872,1.104526143,1.119275598,0.9686684237,0.9176522803,0.9444155894,0.8063480918,0.7768091935,0.7490668002,0.6603630993,0.6346225636,0.5670625334,0.5530696869,0.5581667603,0.5939313177,0.4921577687,0.4577192241,0.3883509939,0.3450377889,0.2968188757,0.2683687348,0.2370590526,0.2013354442,0.2086539151,0.1845299294,0.1737053797,0.1754223824
136,0.5981270581,1.313660013,1.396655221,1.136534262,0.9333612286,0.9518210806,0.8215939761,0.7645918636,0.725708558,0.69734458,0.6000025575,0.6377168232,0.6119412245,0.5069291568,0.4781573717,0.4742975431,0.4372499728,0.3896451332,0.3897428497,0.3521771764,0.3214496266,0.2769967149,0.2530608416,0.2352795768,0.2016041527,0.2000673508,0.1692827309,0.1552926119,0.1389631571,0.1405789217
138,1.829739274,3.059996015,2.868975583,2.253916955,2.425244133,2.087052108,1.964184076,1.842434492,1.757975946,1.824932492,1.526096185,1.469576771,1.413920939,1.448245748,1.255425083,1.233075765,1.114800425,1.065153296,0.9298252077,0.8111041265,0.7008462487,0.5271406272,0.5106986588,0.558447771,0.4749102765,0.4319394204,0.4202495422,0.3991134229,0.3819549173,0.3368891728
139,2.735514302,5.36179762,4.229840509,3.49573007,3.066955645,2.991412577,2.557052817,2.491567004,1.949609153,1.495308406,1.467326657,1.623599278,1.535890777,1.274885444,1.255245203,1.048902598,1.005838031,0.9853437495,0.9434176805,0.7609988823,0.6332342862,0.5419612722,0.4737416261,0.4134886851,0.4110603576,0.3711553032,0.3651504306,0.3565487563,0.3835083605,0.4096404128
140,5.75718829,12.55538576,11.77228934,8.499921333,7.709870838,6.382673724,5.156383991,5.358158153,5.454696773,3.99611127,3.291529121,3.33281474,3.295042103,2.993577238,2.672740513,2.327599125,2.04612994,1.984173164,1.603691823,1.392776356,1.121091689,0.9899191614,0.9335802677,0.8628019357,0.8096559363,0.7447349076,0.7055447357,0.6691630486,0.8051964915,0.8276869977
141,0.934406217,2.04681839,2.076553377,1.614337153,1.472663982,1.520739544,1.439373131,1.237295983,1.239611111,1.126692581,1.016621183,0.984548467,0.8727077139,0.9182554924,0.9177429109,0.9074331545,0.8665384188,0.8458058611,0.7471312808,0.6966047868,0.6593415904,0.5851313406,0.4780710851,0.4037244114,0.3776906827,0.3320987608,0.3190682628,0.2994249195,0.3046729739,0.274641054
142,1.318662186,2.400953595,2.279758852,1.711339931,1.352177648,1.406572642,1.177972429,1.152467598,1.072816121,1.009557167,0.9575469443,0.9431128004,0.8461145251,0.8311599628,0.759648305,0.6911072564,0.6506876026,0.6665566515,0.5701348383,0.4752353895,0.432483018,0.3692256402,0.3189265577,0.2772822715,0.2452919858,0.2329810021,0.2190712543,0.2127243316,0.224367292,0.2089919676
143,5.832730636,12.39256244,11.67405635,10.03274589,8.90414036,7.092165659,6.112364867,6.196894843,5.923126145,5.025638356,4.527779189,3.875491575,3.727433539,3.430701309,2.971604905,2.668062008,2.479128086,2.082603528,1.871154381,1.549053755,1.402840668,1.214703004,1.028351371,0.9383772494,0.9428437126,0.9099807946,0.7777247206,0.720099025,0.6808141593,0.7464587531
144,20.06978853,56.73027896,57.7716701,52.57508573,48.88574776,39.274501,32.41887796,31.67643616,24.28826435,20.30222477,19.327045,15.25500087,15.62300312,12.95325283,11.33026292,10.03607606,9.923378643,9.733149876,8.616453547,8.323081389,6.607323777,5.529387846,5.347396938,4.415358778,3.566733823,3.734984896,3.394985432,2.801788489,2.443416241,2.405036151
146,0.9098641307,1.722428006,1.731199623,1.576197204,1.326859106,1.324751202,1.112162929,1.069058047,0.9826837141,0.9337025579,0.8576781481,0.7553566579,0.7467531938,0.6432775082,0.6472260852,0.5908860279,0.5456128426,0.5366096783,0.4505210414,0.4006399769,0.3576653805,0.3093322219,0.2438733532,0.2293264306,0.2073464411,0.1958234385,0.1700461945,0.1687068457,0.1735744677,0.1773271621
147,0.5074971249,1.016570036,1.13091096,0.8522125129,0.7318125978,0.735695406,0.6337499277,0.5927169023,0.5772959695,0.6333993685,0.5481131354,0.4936224642,0.544253586,0.5217615083,0.4905665886,0.4894325979,0.4633535208,0.4397615783,0.4153540181,0.3948724392,0.3442610204,0.2990940833,0.2563472068,0.2333829561,0.2209003357,0.2022384505,0.195420125,0.1862335014,0.1741246582,0.1620140923
150,1.225322036,2.8970069,3.104189832,2.597028395,2.705425202,1.99070582,1.998314683,2.122539538,2.334755784,2.174892329,1.894253859,1.793250062,1.791536429,1.52280584,1.333250822,1.236462681,1.13479646,1.224561006,1.013924085,0.9870103963,0.875621644,0.684401312,0.630209877,0.5374493206,0.5081659704,0.4601554565,0.4240750008,0.4062217526,0.3805909597,0.3771403005
151,12.19399648,16.76291139,11.10246414,9.544833537,10.26119485,8.788854276,8.207939614,8.110113961,8.511183744,6.842854612,6.829575933,6.327507905,6.891989905,5.591622832,4.284657784,4.019955654,3.733847271,3.777768305,3.112504871,2.452624339,2.303341717,1.840436622,1.680112896,1.879100986,1.62382204,1.576768823,1.606757107,1.575852074,1.716834103,2.151624587
152,4.089287244,6.054508776,5.193094493,3.723055927,3.886783055,3.682641521,3.288799187,2.985077074,2.581792274,2.62116846,2.171646624,2.089564618,1.935616937,1.81513851,1.745838597,1.479584943,1.451297618,1.339583756,1.063524666,0.9207323805,0.6983352726,0.5999961001,0.6377543651,0.6080545759,0.6462476474,0.6268187817,0.5872863414,0.5757513865,0.5275555965,0.5180504636
153,1.794853834,3.267125665,3.141967865,2.264953796,1.977378594,1.837615786,1.749295986,1.578501657,1.534129457,1.420656055,1.220865394,1.195124309,1.055078344,0.9610594675,0.8266267818,0.7100638812,0.6933752721,0.6204746329,0.5313204771,0.5030082778,0.4156214709,0.3663691359,0.3490045888,0.2956071934,0.3303191428,0.2885190077,0.2796880595,0.2884546589,0.2708216807,0.2690067664
154,1.401880818,2.824570807,2.728573282,2.166435064,1.846188855,1.698058784,1.480514027,1.428593488,1.198393657,1.051442608,0.9371277704,0.9377395852,0.8675682838,0.8193624268,0.7543897718,0.6613846734,0.6031273569,0.5239182957,0.5100765015,0.4408289551,0.388224317,0.3420085934,0.2889538672,0.2493198263,0.2415279801,0.218371505,0.2201769511,0.203579523,0.1984381985,0.1991969587
156,7.549807235,16.64596332,20.52374076,17.11896611,11.57221046,10.49545248,9.736876114,8.441665944,7.245512187,6.556401272,7.004606634,5.173540478,4.967421456,4.837421968,5.236742472,4.867327619,4.175535638,3.972145259,3.580897219,3.132023783,2.835098431,2.400575018,2.02812365,1.688816892,1.625456242,1.50500393,1.326195063,1.160418875,1.014339234,0.9669631187
157,0.3171608148,0.7849132314,0.9504187515,0.9025892531,0.8607258269,0.825652113,0.7893306903,0.7501670589,0.7781756604,0.7407532362,0.6563458114,0.6067792467,0.6213417846,0.5494229949,0.5692231564,0.5642025999,0.5444059529,0.5313066609,0.4844246292,0.4624739703,0.4113442538,0.3435357457,0.2909223723,0.2526194561,0.2438909226,0.2035652138,0.189882497,0.1768919381,0.1484114528,0.1341219279
160,4.149604344,4.199148451,4.356522355,4.567649527,4.608468945,4.644505625,4.702494045,4.784072088,4.803605027,4.804911988,4.81490012,4.842607179,4.842696898,4.860755285,4.842278808,4.859429988,4.838270015,4.836979026,4.828453177,4.798557225,4.779320245,4.741176068,4.718443453,4.692049031,4.677533757,4.658054943,4.650765261,4.624911602,4.61392893,4.614939548
161,1.139562445,2.3560149,2.210245998,1.889179234,1.504354955,1.655474205,1.544171771,1.556474296,1.216119604,1.340744716,1.2156393,0.9839529047,1.028865496,0.8201153621,0.78022427,0.7877700944,0.686117461,0.6755949981,0.5101116995,0.4666531365,0.442788006,0.3715903369,0.2955606491,0.2808951289,0.2668787937,0.2192360727,0.2163546034,0.2633222286,0.2228742117,0.2042039107
162,1.121022422,2.226876432,2.407199683,2.342511185,1.754393284,1.778869863,1.5937756,1.432365182,1.239045108,1.090270704,0.8705740031,0.9268856374,0.9554568607,0.8897227922,0.7438784782,0.6981171199,0.599287667,0.6519685457,0.6059817129,0.5551401638,0.4493341795,0.377565361,0.3074415072,0.3368622501,0.3179268658,0.2848713406,0.2216743416,0.2055321223,0.1985782584,0.2005189688
163,2.33422153,4.93698838,4.17420197,3.40155808,2.83052242,2.61808294,2.19155217,2.25491543,2.11853784,1.6097734,1.39057049,1.34644042,1.52457563,1.28142688,1.10875148,1.05867889,0.98426536,0.80728146,0.75452074,0.63399191,0.52403486,0.45886546,0.4290367,0.42889986,0.38354856,0.37156513,0.36156567,0.35498332,0.38028861,0.43842706
164,18.8137732,50.7534401,48.647944,49.3030662,32.1342912,26.3983824,24.1881734,22.9720854,19.8265477,15.8101003,13.574199,14.7347985,13.1975176,12.4802476,9.17917362,9.15700792,7.98213694,8.15867555,8.23892258,6.34319348,5.6136134,4.61080746,3.90150397,3.52013832,2.89389693,2.63804516,2.58906181,2.28872809,1.88118166,1.88420396
165,1.06993713,2.949012427,3.13941144,2.446123212,2.077562645,1.768886817,1.667949891,1.451847873,1.414595545,1.201206019,1.258822211,1.206484744,1.132120298,1.013554635,0.8960173548,0.7730670053,0.8329350667,0.7988624926,0.6581678993,0.5775243888,0.5119705564,0.451169069,0.3785825096,0.353848133,0.3272999797,0.2943839627,0.2686666052,0.240594426,0.2629796603,0.2432098891
166,1.084407639,2.318297057,2.426230423,2.028445986,1.797949282,1.709820694,1.570165543,1.644879411,1.51342049,1.502001727,1.272811,1.301871964,1.177212324,1.194987934,1.173018492,1.1415324,1.143751614,1.04061701,0.9968890873,0.904969467,0.8619295497,0.7992053499,0.8015437474,0.6834281874,0.6458776996,0.6108292305,0.5343350077,0.4819172318,0.4162571565,0.3774124296
167,6.974873666,11.70682789,13.1456424,6.050568803,2.709056039,3.581413614,5.32844771,4.019279659,3.694911358,4.419197822,3.582181388,5.968228255,3.946000384,4.858779525,4.217460752,3.50297659,2.879527355,1.369719567,1.954699725,1.81885677,1.571937468,0.6544425281,1.130095886,0.7137627049,1.230695289,1.724403085,1.020111006,1.468801712,1.231962845,0.8484401857
168,0.3109048717,0.7343688845,0.8304378496,0.7150061908,0.6310332933,0.6799399549,0.5843629174,0.648579689,0.6087888604,0.6035837393,0.578882298,0.5556564378,0.5673045499,0.549626886,0.5565770923,0.5036251871,0.4650731717,0.4213637891,0.3925322743,0.3577920825,0.280402381,0.2645094016,0.2270926868,0.1914722006,0.1644310116,0.147969013,0.1325828119,0.1279197334,0.1153402431,0.1134542127
169,0.8906701316,2.365902256,3.201711173,2.982614259,3.055551185,3.057214851,2.971697174,2.949199734,2.886241813,3.454309843,3.021745434,3.137930488,3.021345195,3.210196736,2.92108622,3.234826293,2.754253092,2.833553899,2.599955006,2.325000005,2.064290492,1.865869346,1.688398482,1.420427895,1.162925875,1.046499559,0.9426707154,0.7282593593,0.6688794609,0.626375549
170,2.32768977,4.30249839,4.376981905,3.494542244,3.003361041,2.784448067,2.328286055,2.221862603,2.140440813,1.833063007,1.790059213,1.667366637,1.489955973,1.363460332,1.255963922,1.038514894,1.004398985,0.8804138701,0.7438922254,0.6636950602,0.5772512347,0.4477266891,0.4186203417,0.3925287257,0.3764746237,0.3461850522,0.3172492125,0.3302811043,0.3203386303,0.3450207054
171,24.06522057,11.42382663,40.87028689,52.86451178,40.89424672,25.10209576,29.91578589,13.04484285,6.739625947,25.46985941,32.88256095,18.61399661,23.56226962,17.99933532,6.021870344,18.80789194,19.1876969,11.00357267,6.039982353,7.123368985,9.933538668,3.977644413,1.594568358,3.449156031,2.400262724,1.088719264,2.308704462,2.253705323,3.574572611,2.782955609
172,0.9727239442,2.31145151,2.75974113,3.033910452,4.18687581,3.194425746,4.800629286,4.801346646,3.128704376,3.391660508,2.577153022,3.722533173,2.069746086,2.804957427,2.07390928,2.048692427,2.743038221,3.190010331,2.656119012,2.293274583,1.427942559,2.073322203,1.507457676,2.170823267,1.385423168,1.809724092,1.355752761,1.03404816,0.3330109508,0.4403745387
173,3.702526497,7.05713752,7.715634605,5.409095029,5.277976149,4.30389896,3.989179801,3.722400632,3.689712064,3.332468114,2.976778505,2.729094371,2.499245018,2.326606884,2.050372872,1.833474105,1.662637514,1.401151786,1.406817104,1.116976513,0.9907297872,0.8528560561,0.7658673206,0.7076467544,0.6180363511,0.6312501161,0.5752090953,0.5558243472,0.5480059392,0.5791871914
