Lab ID Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
101,3.910874691,8.536275687,9.461500469,6.942251939,5.856321916,5.227333276,4.25093561,3.892759855,5.000305476,4.770049502,3.271554775,2.686831809,2.332412603,2.276372968,2.231199257,1.978850571,1.746795588,1.594587534,1.504190733,1.290603061,1.05627609,0.9324538255,0.8271831113,0.7597788201,0.6088354129,0.5902067768,0.6005997145,0.5461225929,0.543017139,0.5147852604
102,1.222030553,3.216004335,3.69602231,3.376035441,3.468062345,3.311429522,3.436021488,3.592019389,3.584472001,4.132124709,3.103305542,2.742584101,2.565485891,2.374167508,2.04766308,1.810009628,1.618297821,1.620295647,1.390233646,1.220523152,0.9969658301,0.8303501133,0.7397906353,0.6979402308,0.6588942799,0.5651713463,0.5506566385,0.5028221662,0.4602917072,0.4436359582
103,5.48624709,5.38940297,5.091994875,4.968186594,4.101839051,3.996699514,3.595661275,3.414291178,3.908464837,4.715391104,5.571108753,3.97332326,3.121936041,3.219904218,3.43336492,4.109508774,3.568591606,2.717081791,3.733357537,3.076213768,1.951417627,1.509182382,1.301517338,1.091380079,0.9027413722,0.8706146614,0.8076253787,0.7614514397,0.7403242989,0.7102811118
104,4.734269426,5.670843483,3.875995311,2.756897705,2.211492114,2.058218515,1.938362084,1.784860129,1.703041265,1.832373604,1.742118925,1.879389661,1.807532775,1.793100312,1.583743088,1.428845311,1.466381659,1.326789525,1.284010541,1.139463754,0.9751105779,0.861897438,0.7465822499,0.6517685308,0.553148206,0.4792716647,0.4295539863,0.4198570436,0.3675697487,0.3556137076
105,3.584434573,9.428943838,10.83915107,7.175637196,6.731651497,5.114728702,5.048462568,4.600928824,4.534427683,4.568332399,4.51951361,4.121357844,4.033003824,3.114436409,2.951247975,2.730283886,2.289924675,2.031697363,1.645240918,1.49786227,1.311405463,1.118977035,0.9037804042,0.8037034603,0.811518193,0.720650512,0.6993596728,0.6730499991,0.6259556331,0.6143155972
106,0.9977460252,2.302190453,2.842093973,2.687589336,2.543843096,3.132844777,3.98718399,3.172383943,4.301194506,6.436820068,3.99646206,2.549744749,2.16892932,2.05900353,1.871351181,1.538812651,1.432256574,1.303961907,1.254657655,1.122128036,0.9781388323,0.7079875579,0.6406194492,0.55827469,0.479951402,0.4719900768,0.4627576012,0.4341197195,0.4020928506,0.3709559874
107,1.08678792,2.468015767,2.718299505,2.541678726,2.385597821,2.161713736,2.023400171,1.924505525,1.778922725,1.70793145,2.086601683,2.01121866,1.461717547,1.348289285,1.343352752,1.188801651,1.059028676,0.9932421973,0.9229361342,0.8333864756,0.659971618,0.497933516,0.4444347028,0.4227600848,0.3898064502,0.3475847411,0.3312559451,0.3069728984,0.2984129824,0.2695295309
108,32.86033979,93.08330741,112.2919495,97.85199452,69.34241123,71.77613197,97.46376704,65.63678836,62.92510054,70.05536651,51.76238191,46.24624849,52.17954843,38.44202321,28.50429079,31.95949543,27.19678168,21.39242738,18.62381725,16.92273666,14.67363706,12.37649321,10.18258747,10.20640261,9.379332925,7.638062329,6.671605992,7.134235199,6.638545389,6.255621056
109,4.159351999,7.54989366,7.357573191,4.96626745,4.471571806,3.586473609,3.493412326,3.192894477,3.118734474,3.200353002,3.130816267,3.000373752,2.920268299,2.45376836,2.267495531,2.079564599,1.878153167,1.679243444,1.464625729,1.318663012,1.14325802,0.9904372364,0.825181327,0.7277359956,0.6823331995,0.5999610883,0.5644568295,0.5464535214,0.4967626909,0.4849646524
110,2.291090299,5.865567146,6.840622522,4.931613266,4.637747297,4.123786739,4.517823279,3.886656384,4.417811095,5.502576233,4.257987835,3.335551297,3.100966572,2.586719969,2.411299578,2.134548268,1.861090624,1.667829635,1.449949287,1.309995153,1.144772147,0.9134822964,0.7721999267,0.6809890752,0.6457347975,0.5963202944,0.581058637,0.5535848593,0.5140242418,0.4926357923
111,2.161693323,5.346287139,4.34290358,3.529565251,3.059109833,2.999406205,2.818782388,2.902632365,3.807798926,4.725120585,4.856882279,2.281438796,1.651577685,1.736599056,1.555150388,1.376946715,1.326277501,1.255001231,1.173963909,0.9811362453,0.9191087215,0.7159083952,0.6030074361,0.5306327824,0.492770017,0.4453057292,0.4515930316,0.4358006391,0.4162398036,0.398888186
